"","OverallQual","GrLivArea","GarageCars","Neighborhood","ExterQual","X1stFlrSF","BsmtFinSF1","LotArea","X2ndFlrSF","KitchenQual","YearBuilt","FullBath","SalePrice"
"3",7,1786,2,"CollgCr","Gd",920,486,11250,866,"Gd",2001,2,223500
"5",8,2198,3,"NoRidge","Gd",1145,655,14260,1053,"Gd",2000,2,250000
"6",5,1362,2,"Mitchel","TA",796,732,14115,566,"TA",1993,1,143000
"13",5,912,1,"Sawyer","TA",912,737,12968,0,"TA",1962,1,144000
"15",6,1253,1,"NAmes","TA",1253,733,10920,0,"TA",1960,1,157000
"22",7,1108,1,"IDOTRR","TA",1108,0,7449,0,"Gd",1930,1,139400
"23",8,1795,2,"CollgCr","Gd",1795,0,9742,0,"Gd",2002,2,230000
"32",5,1228,1,"Sawyer","TA",1228,0,8544,0,"Gd",1966,1,149350
"33",8,1234,2,"CollgCr","Gd",1234,0,11049,0,"Gd",2007,2,179900
"34",5,1700,2,"NAmes","TA",1700,1018,10552,0,"Gd",1959,1,165500
"35",9,1561,2,"NridgHt","Ex",1561,1153,7313,0,"Ex",2005,2,277500
"38",5,1297,2,"NAmes","TA",1297,1213,8532,0,"TA",1954,1,153000
"39",5,1057,1,"NAmes","TA",1057,731,7922,0,"Gd",1953,1,109000
"40",4,1152,0,"Edwards","TA",1152,0,6040,0,"Fa",1955,2,82000
"43",5,884,2,"SawyerW","TA",884,747,9180,0,"Gd",1983,1,144000
"44",5,938,1,"CollgCr","TA",938,280,9200,0,"TA",1975,1,130250
"46",9,1752,2,"NridgHt","Ex",1752,456,7658,0,"Ex",2005,2,319900
"47",7,2149,2,"Mitchel","Gd",1518,1351,12822,631,"Gd",2003,1,239686
"52",6,1176,2,"BrkSide","TA",816,0,6240,0,"TA",1934,1,114500
"58",7,1720,2,"CollgCr","Gd",860,0,11645,860,"Gd",2004,2,196500
"59",10,2945,3,"StoneBr","Ex",1426,0,13682,1519,"Gd",2006,3,438780
"62",5,1111,1,"IDOTRR","TA",581,0,7200,530,"Fa",1920,1,101000
"64",7,1710,2,"OldTown","TA",902,0,10300,808,"TA",1921,2,140000
"65",7,2034,2,"CollgCr","TA",1057,739,9375,977,"Gd",1997,2,219500
"67",7,2207,2,"NAmes","TA",2207,912,19900,0,"TA",1970,2,180000
"70",7,2287,2,"ClearCr","Gd",1304,603,15593,983,"TA",1953,2,225000
"71",7,2223,2,"NAmes","TA",2223,1880,13651,0,"TA",1973,2,244000
"72",4,845,2,"Mitchel","TA",845,565,7599,0,"TA",1982,1,129500
"74",5,1086,2,"NAmes","TA",1086,320,10200,0,"TA",1954,1,144900
"77",4,952,1,"NAmes","TA",952,228,8475,0,"TA",1956,1,135750
"78",5,1285,1,"BrkSide","TA",1072,336,8635,213,"TA",1948,1,127000
"79",4,1768,0,"Sawyer","TA",1768,0,10778,0,"TA",1968,2,136500
"82",6,1337,2,"Mitchel","TA",1337,1201,4500,0,"TA",1998,2,153500
"83",8,1563,3,"Somerst","TA",1563,33,10206,0,"Gd",2007,2,245000
"86",8,2417,2,"NoRidge","Gd",1301,0,16059,1116,"Gd",1991,2,260000
"88",6,1224,2,"Somerst","Gd",612,0,3951,612,"Gd",2009,2,164500
"94",6,2291,2,"OldTown","TA",1260,1046,7200,1031,"TA",1910,2,133900
"97",7,1588,2,"CollgCr","Gd",1588,1162,10264,0,"Gd",1999,2,214000
"107",4,1047,1,"OldTown","TA",1047,0,10800,0,"TA",1885,1,100000
"111",6,1855,1,"Edwards","TA",1216,444,9525,639,"TA",1954,2,136900
"113",7,2696,3,"CollgCr","Gd",1282,984,9965,1414,"Ex",2007,2,383970
"115",6,2320,1,"Crawfor","TA",1436,774,7259,884,"Gd",1945,2,259500
"121",6,988,2,"ClearCr","TA",988,938,21453,0,"TA",1969,1,180000
"123",6,1080,1,"NAmes","TA",1080,570,9464,0,"TA",1958,1,136000
