"","OverallQual","GrLivArea","GarageCars","Neighborhood","ExterQual","X1stFlrSF","BsmtFinSF1","LotArea","X2ndFlrSF","KitchenQual","YearBuilt","FullBath","SalePrice"
"740",5,1432,2,"OldTown","TA",768,0,9600,664,"TA",1910,2,132000
"447",7,1886,2,"Gilbert","Gd",956,0,11214,930,"Gd",1998,2,199900
"622",5,980,2,"Sawyer","TA",980,560,7064,0,"TA",1977,1,135000
"1009",5,1271,1,"Sawyer","TA",720,0,21286,551,"TA",1948,2,135000
"124",6,1199,2,"SawyerW","Gd",1199,300,7892,0,"Gd",1993,2,153900
"328",6,1383,1,"NAmes","TA",1383,565,11600,0,"TA",1960,1,145250
"399",7,1550,2,"Somerst","Gd",1112,812,8125,438,"Gd",2006,2,241000
"396",5,894,2,"CollgCr","TA",894,777,7200,0,"TA",1972,1,123000
"893",5,1383,1,"Sawyer","TA",1383,1064,13284,0,"TA",1954,1,165000
"623",6,1512,2,"Somerst","Gd",756,420,2117,756,"Gd",2000,2,168500
"944",6,1344,2,"Timber","TA",1344,111,14375,0,"Gd",1958,1,137500
"822",7,1733,2,"Gilbert","Gd",847,0,12394,886,"Gd",2003,2,225000
"165",6,1616,1,"OldTown","TA",1149,370,5400,467,"Gd",1926,2,152000
"862",6,1097,2,"SawyerW","TA",1097,338,9672,0,"TA",1984,2,152000
"518",6,1796,2,"CollgCr","TA",882,706,9531,914,"TA",1998,2,211000
"619",8,2262,3,"Timber","Gd",1482,871,12244,780,"Gd",2003,2,305000
"75",3,1605,1,"OldTown","Gd",840,0,5790,765,"TA",1915,2,107400
"381",7,1301,2,"Somerst","Gd",1301,0,7200,0,"Gd",2006,2,187750
"575",5,1216,1,"NAmes","TA",832,442,8480,384,"TA",1947,1,118500
"1204",7,2196,3,"SawyerW","Gd",2196,485,14684,0,"Gd",1990,2,271900
"1244",6,1868,2,"NWAmes","TA",1140,0,12090,728,"TA",1984,3,178000
"885",9,1709,2,"Somerst","Gd",1709,1238,5119,0,"Gd",1999,2,328900
"1114",8,1734,3,"NridgHt","Gd",1734,1004,12085,0,"Ex",2007,2,318000
"511",7,1368,2,"NridgHt","Gd",1368,0,6792,0,"Gd",2005,2,202665
"582",6,816,0,"Edwards","TA",816,816,11841,0,"TA",1990,1,118500
"1013",6,1082,1,"NAmes","TA",1082,336,11664,0,"TA",1948,1,119200
"1201",5,1348,1,"BrkSide","TA",884,0,6000,464,"TA",1925,1,117000
"343",9,1684,2,"NridgHt","Ex",1684,28,8849,0,"Ex",2005,2,266000
"1103",5,1302,2,"BrDale","TA",630,0,2016,672,"TA",1970,2,106000
"509",5,1041,1,"NAmes","TA",1041,991,9600,0,"TA",1959,1,124500
"765",9,1506,2,"Somerst","Gd",1506,0,14587,0,"Ex",2008,2,264132
"133",5,1327,2,"NAmes","TA",1327,405,7388,0,"Gd",1959,1,150750
"243",5,1440,1,"OldTown","TA",889,0,5000,551,"TA",1900,1,79000
"1283",6,2447,1,"SWISU","TA",1699,0,9638,748,"Gd",1919,2,169000
"602",8,1915,2,"SawyerW","Gd",927,789,10041,988,"Gd",1992,2,220000
"1065",6,1571,2,"Gilbert","Gd",799,0,7837,772,"TA",1993,2,178000
"1170",6,1261,2,"NAmes","TA",1261,662,9120,0,"TA",1958,1,163000
"1357",6,1573,2,"Somerst","Gd",769,378,2117,804,"Gd",2000,2,177500
"974",7,1382,2,"Somerst","Gd",673,641,2651,709,"Gd",2000,2,165000
"711",4,1178,1,"IDOTRR","TA",859,0,8712,319,"TA",1900,1,102776
"391",6,1961,2,"Mitchel","TA",804,690,12209,1157,"Gd",2001,2,215000
"325",7,2978,2,"NAmes","Gd",1898,0,11275,1080,"Gd",1967,2,242000
"21",8,2376,3,"NridgHt","Gd",1158,0,14215,1218,"Gd",2005,3,325300
"1032",7,1654,3,"CollgCr","Gd",1654,986,8125,0,"Gd",2002,2,230000
"354",6,1595,1,"SWISU","TA",1192,388,8400,403,"TA",1940,1,140000
"228",6,987,1,"BrDale","TA",483,321,1869,504,"TA",1970,1,106000
"25",5,1060,1,"Sawyer","TA",1060,188,8246,0,"Gd",1968,1,154000
"686",7,1761,2,"Somerst","Gd",874,0,10207,887,"Gd",2007,3,227875
"146",6,1709,2,"Edwards","Gd",970,0,2522,739,"Gd",2004,2,130000
"1130",5,974,0,"Mitchel","TA",974,212,10712,0,"TA",1991,1,93500
"499",5,912,1,"NAmes","TA",912,111,7535,0,"TA",1958,1,120000
"1318",4,948,1,"Edwards","TA",948,492,10215,0,"TA",1954,1,111000
"346",6,958,1,"NAmes","TA",958,498,12772,0,"TA",1960,1,151500
"665",8,1936,2,"Gilbert","Gd",1454,0,11194,482,"Gd",2000,2,230500
"269",5,778,1,"IDOTRR","TA",778,403,6900,0,"TA",1940,1,120500
"819",7,1358,2,"NridgHt","Gd",1358,733,6371,0,"Gd",2009,2,224000
"645",6,981,2,"NAmes","TA",981,282,10530,0,"TA",1971,1,143250
"655",6,1092,1,"BrDale","TA",525,0,1680,567,"TA",1971,1,88000
"560",5,1392,2,"Sawyer","TA",1392,1302,11341,0,"TA",1957,1,121500
"707",8,1324,2,"NridgHt","Gd",1324,863,6240,0,"Gd",2006,2,254000
"45",5,1150,1,"NAmes","TA",1150,179,7945,0,"TA",1959,1,141000
"160",7,2462,2,"Gilbert","Gd",1392,57,19378,1070,"Gd",2005,2,320000
"1401",7,1294,2,"CollgCr","Gd",1294,0,6762,0,"Gd",2006,2,193879
"554",7,2046,3,"NridgHt","Gd",1006,866,10625,1040,"Gd",2003,2,284000
"1163",5,1432,2,"Veenker","TA",1432,680,16157,0,"Gd",1978,1,194000
"1061",5,2337,2,"OldTown","TA",1422,0,13600,915,"TA",1900,2,90000
"799",5,1768,1,"SWISU","TA",981,569,7200,787,"Gd",1937,1,175000
"1449",5,1792,0,"NAmes","TA",896,0,9000,896,"TA",1974,2,136000
"117",5,1092,1,"Sawyer","TA",1092,170,11616,0,"TA",1962,1,139000
"305",7,3493,3,"OldTown","TA",1675,0,18386,1818,"Gd",1880,3,295000
"105",7,1818,1,"IDOTRR","TA",1226,224,7758,592,"TA",1931,1,169500
"742",7,1349,2,"SawyerW","TA",1349,0,8450,0,"TA",2000,2,179000
"889",6,1505,2,"NAmes","TA",1505,1024,12160,0,"TA",1953,1,149500
"729",4,1208,2,"IDOTRR","TA",848,152,6240,0,"TA",1925,1,103000
"55",5,1360,2,"NAmes","TA",1360,384,7134,0,"TA",1955,1,130000
"755",6,1471,2,"Somerst","TA",742,381,3230,729,"TA",1999,2,172500
"516",6,2119,2,"NWAmes","TA",1378,0,10448,741,"TA",1972,2,158000
"1328",7,1632,2,"Gilbert","TA",955,0,9084,677,"TA",1998,2,176500
